Symbol letter	Element symbol	Atomic number
NA	NA	NA
String	String	Integer
Symbol	ElementSymbol	An
H	H	1
He	He	2
Li	Li	3
Be	Be	4
B	B	5
C	C	6
N	N	7
O	O	8
F	F	9
Ne	Ne	10
Na	Na	11
Mg	Mg	12
Al	Al	13
Si	Si	14
P	P	15
S	S	16
Cl	Cl	17
Ar	Ar	18
K	K	19
Ca	Ca	20
Sc	Sc	21
Ti	Ti	22
V	V	23
Cr	Cr	24
Mn	Mn	25
Fe	Fe	26
Co	Co	27
Ni	Ni	28
Cu	Cu	29
Zn	Zn	30
Ga	Ga	31
Ge	Ge	32
As	As	33
Se	Se	34
Br	Br	35
Kr	Kr	36
Rb	Rb	37
Sr	Sr	38
Y	Y	39
Zr	Zr	40
Nb	Nb	41
Mo	Mo	42
Tc	Tc	43
Ru	Ru	44
Rh	Rh	45
Pd	Pd	46
Ag	Ag	47
Cd	Cd	48
In	In	49
Sn	Sn	50
Sb	Sb	51
Te	Te	52
I	I	53
Xe	Xe	54
Cs	Cs	55
Ba	Ba	56
La	La	57
Ce	Ce	58
Pr	Pr	59
Nd	Nd	60
Pm	Pm	61
Sm	Sm	62
Eu	Eu	63
Gd	Gd	64
Tb	Tb	65
Dy	Dy	66
Ho	Ho	67
Er	Er	68
Tm	Tm	69
Yb	Yb	70
Lu	Lu	71
Hf	Hf	72
Ta	Ta	73
W	W	74
Re	Re	75
Os	Os	76
Ir	Ir	77
Pt	Pt	78
Au	Au	79
Hg	Hg	80
Tl	Tl	81
Pb	Pb	82
Bi	Bi	83
Po	Po	84
At	At	85
Rn	Rn	86
Fr	Fr	87
Ra	Ra	88
Ac	Ac	89
Th	Th	90
Pa	Pa	91
U	U	92
Np	Np	93
Pu	Pu	94
Am	Am	95
Cm	Cm	96
Bk	Bk	97
Cf	Cf	98
Es	Es	99
Fm	Fm	100
Md	Md	101
No	No	102
Lw	Lw	103
Rf	Rf	104
Db	Db	105
Sg	Sg	106
Bh	Bh	107
Hs	Hs	108
Mt	Mt	109
